target_node,time,idw_temperature_2m,idw_relative_humidity_2m,idw_soil_moisture_0_to_7cm,idw_shortwave_radiation,idw_surface_pressure,nearest_avg_distance_km,actual_temperature_2m,actual_relative_humidity_2m,actual_soil_moisture_0_to_7cm,actual_shortwave_radiation,actual_surface_pressure,hour,hour_sin,hour_cos,day_of_year,doy_sin,doy_cos,target_elevation_m,idw_elev_temperature_2m,target_elevation_m
node_4_1,2026-08-16 00:00:00,21.344392422111994,96.39701084656858,0.4040736158026831,0.0,874.8161177297782,78.4291923229902,24.8,100,0.393,0.0,933.1,0,0.0,1.0,228,-0.7055836101071774,-0.70862667826446,235.0,21.65904050278637,235.0
node_4_1,2026-08-16 01:00:00,20.937318774327583,97.7527693088689,0.4043586377871394,0.0,874.3622693495525,78.4291923229902,24.7,99,0.393,0.0,932.5,1,0.2588190451025207,0.9659258262890684,228,-0.7055836101071774,-0.70862667826446,235.0,21.251966855001964,235.0
node_4_1,2026-08-16 02:00:00,20.758747324988803,96.93064854001904,0.4040736158026831,0.0,873.7123386004456,78.4291923229902,24.6,99,0.392,0.0,932.1,2,0.4999999999999999,0.8660254037844387,228,-0.7055836101071774,-0.70862667826446,235.0,21.07339540566318,235.0
node_4_1,2026-08-16 03:00:00,20.537180272541278,96.93064854001904,0.4040736158026831,0.0,873.1477759448894,78.4291923229902,24.5,97,0.392,0.0,931.6,3,0.7071067811865475,0.7071067811865476,228,-0.7055836101071774,-0.70862667826446,235.0,20.85182835321565,235.0
node_4_1,2026-08-16 04:00:00,20.26883848765248,96.93064854001904,0.4040736158026831,0.0,873.2655638680045,78.4291923229902,24.4,95,0.392,0.0,932.0,4,0.8660254037844386,0.5000000000000001,228,-0.7055836101071774,-0.70862667826446,235.0,20.583486568326855,235.0
node_4_1,2026-08-16 05:00:00,21.281283599197582,96.50069250893156,0.410715090212086,0.0,873.7558188144351,78.4291923229902,24.9,92,0.386,0.0,931.4,5,0.9659258262890684,0.2588190451025207,228,-0.7055836101071774,-0.70862667826446,235.0,21.59593167987196,235.0
node_4_1,2026-08-16 06:00:00,21.356699031870782,96.6771867222186,0.4104300682276297,17.714978015543746,874.3236759884434,78.4291923229902,24.9,95,0.386,17.0,932.4,6,1.0,6.123233995736766e-17,228,-0.7055836101071774,-0.70862667826446,235.0,21.671347112545163,235.0
node_4_1,2026-08-16 07:00:00,22.96172438653717,89.53225267558736,0.4101450462431735,137.77007767101384,875.1065111779953,78.4291923229902,25.4,93,0.386,119.0,932.9,7,0.9659258262890684,-0.2588190451025206,228,-0.7055836101071774,-0.70862667826446,235.0,23.27637246721155,235.0
node_4_1,2026-08-16 08:00:00,24.522992523641555,80.42510992228127,0.4101072549498483,320.79292319718184,875.8887232548802,78.4291923229902,26.8,86,0.385,283.0,933.3,8,0.8660254037844387,-0.4999999999999998,228,-0.7055836101071774,-0.70862667826446,235.0,24.837640604315936,235.0
node_4_1,2026-08-16 09:00:00,25.845528797850346,73.99030778238755,0.4090694636565232,473.4939359301226,876.2569265379826,78.4291923229902,27.8,83,0.384,483.0,933.6,9,0.7071067811865476,-0.7071067811865475,228,-0.7055836101071774,-0.70862667826446,235.0,26.160176878524716,235.0
